1023;1195;1091;979;898;993;1059;1064;906;1069;1056;1046;964;1128;988;980;1052;1180;1031;1061;1002;1084;1006;1015;1060;1060;986;1113;982;951;1026;965;1078;1020;970;1026;1099;970;957;981;984;1042;1064;1040;1134;1091;1041;987;951;1015;1114;939;1020;1130;1010;1093;1038;1018;880;1077;1009;1110;1106;1062;1040;1095;1049;1044;965;1108;1009;988;1062;1031;1140;956;1000;1054;1083;897;1053;1035;1023;1013;994;954;978;1053;1084;1018;1019;952;1166;975;1215;957;993;924;1132;1121
2991;3075;2967;3306;2924;3192;3162;2902;2821;2988;2916;3130;3165;2696;3153;2817;3053;2791;2914;3057;3011;3019;3092;2803;2972;2825;2901;2956;3001;2882;2963;3002;2994;3131;3095;3132;3160;3120;2841;2925;2977;3052;2811;3145;2649;3033;3066;3291;3109;2766;2903;2915;2842;3336;2994;3097;2867;2996;3121;3095;2916;3031;2937;3230;2930;3101;3108;2840;2899;3451;2955;3022;3047;3229;2914;2896;3375;2750;3097;2897;3055;3049;2881;2799;3013;2699;3040;3014;2999;2813;2952;2744;2821;2820;2753;2797;3236;3133;2909;2917
6258;5797;6015;5822;5907;5726;5599;5699;5998;5774;5847;5295;5925;5748;6148;6109;6066;5783;5819;6661;6141;5936;5818;5683;6396;5396;6083;5742;5502;5884;6136;6437;5914;5944;6082;6185;5623;5708;5916;5535;5481;6200;5729;5511;5778;6060;5533;5733;5716;5825;5878;5720;6012;6056;5762;6166;5981;6335;5911;5516;5995;5788;6108;5973;5654;5753;6094;5881;5589;5722;6026;6071;5896;5670;5499;5424;6034;6012;6148;5934;5945;6353;6254;5942;5407;5998;5468;5823;6063;5303;5451;6037;6098;5610;5663;5626;5901;6237;6108;5400
10028;9680;9380;9969;9946;9693;9695;10191;10574;9888;10139;9681;9221;8929;10067;9940;9532;9675;9118;9364;9224;9117;9388;9236;9245;9235;9359;10010;9762;9360;9603;10079;10439;9898;9869;9543;10442;9431;9803;9706;10056;9350;10083;9368;9285;9198;9433;9699;9844;9391;9779;9321;10071;9606;10056;9666;9670;9197;9200;9180;9384;9383;9833;9378;9757;9698;9756;10197;9515;9534;9584;9627;9736;9775;10201;10283;9061;9906;9734;9216;9780;9663;9299;9630;9454;10323;9136;9650;9376;9685;9458;9765;9412;9822;9634;9418;9236;9663;9807;9359
14420;14290;13635;14134;14791;14220;14711;14580;15354;14778;14864;14396;14746;14918;13992;14374;15054;14350;14230;14690;14721;14271;14480;14260;14291;14018;14555;14553;14040;14472;14302;14449;14264;13846;14312;14394;14482;14404;14763;15131;14370;14205;14548;14188;14485;14782;14762;15053;14348;14911;14663;13514;14443;13855;14459;13878;14147;13980;14023;14534;13534;14748;14195;14129;14003;14664;14219;13931;14536;14366;14354;14588;14688;15086;14686;14797;14862;13882;14167;14791;14128;14573;14778;14597;14596;14463;14031;13918;13277;13764;13769;14070;15158;14248;14102;14596;14050;14586;13160;14302
20342;20332;20193;19868;19561;20191;20072;20379;20583;19443;19449;19890;21039;19886;19741;19528;19873;19608;19906;20027;20078;19838;18955;19819;19904;19887;19971;19640;19659;20482;20334;19659;20004;19426;19951;20555;20400;19903;19710;19700;20116;19273;19432;19484;19696;19614;19896;19936;19960;19924;19724;20192;20045;20587;19593;19604;20366;20435;19255;19923;20074;19877;19475;20211;19707;19973;19186;19304;19538;20177;20423;21638;20142;20147;21458;20423;20613;19191;20453;20535;19437;19503;20633;20450;21228;21056;20304;20565;21911;20134;19479;20585;20401;19731;21121;20372;20071;20923;20588;21003
27413;28211;26556;27162;27908;27749;27115;26583;27877;27487;27428;27395;27439;27592;26942;26824;27830;25632;26781;26647;26129;25825;26582;25843;25692;25991;26283;26864;26872;25896;26914;27377;26684;27371;27288;27010;27222;26823;27784;27681;27186;26482;26393;27111;27760;27532;28207;26703;26452;26380;27446;26374;26211;26437;25167;26533;26290;25707;25634;26536;27163;27260;26928;26200;25737;25908;26305;26974;26182;26611;25944;26595;26704;27482;26369;26679;25840;26618;27029;26559;26150;26366;26405;25706;27185;25460;26081;27003;25831;27521;27249;26266;26335;26528;26807;26128;25540;25997;27138;26638
1951;2140;1988;1994;2155;2273;2291;2273;1951;2342;2170;2175;1954;2009;1969;2105;2260;2073;2020;2033;1948;2037;2191;2033;1990;2190;2137;1990;2035;2165;2004;2013;1960;2134;2068;2006;2049;2033;2078;2047;2053;1908;2040;2084;1945;2169;2174;1976;1955;1986;1895;2069;2116;2210;1906;2089;2190;2156;2160;1914;2205;1947;2084;2102;1995;2117;1849;1965;2055;2198;2138;2132;1970;2114;1884;2127;2103;2000;1950;2334;2092;2143;2085;1941;2037;1884;2109;2024;1932;2108;1937;2153;1900;2150;2055;1888;2053;1885;1993;2010
5618;5962;5587;5824;5993;5433;5591;5818;5734;5896;5965;5612;5703;6013;5619;5837;5575;5633;5555;5821;6008;5326;5982;5583;5684;6113;5565;6149;5676;5775;5538;5842;5415;5590;5769;5829;5406;5995;6106;5659;5808;6185;6211;6045;5873;5884;5766;5662;5850;5956;5902;5811;5839;5990;5678;5941;6852;5912;5808;5727;5988;5546;5814;5809;5781;5862;5536;5717;5894;6003;5691;5872;5729;5404;5948;5743;6007;5732;5925;5341;5880;5807;5911;5957;5524;6004;5640;6056;5628;5968;5726;5752;5813;6258;5780;6204;6276;5346;6247;5702
11839;11265;11077;12108;11340;11376;11389;11387;11073;11174;11529;11550;12015;11366;12070;11689;11725;10641;11485;11384;11329;12254;11600;11314;11699;12130;11875;12135;11243;11290;11679;12308;10893;11600;11700;11356;11523;11891;11835;11819;12117;11588;11453;12023;11343;10892;11940;11566;12294;11527;11560;11515;12047;11380;11090;12217;11082;11507;11636;11347;11473;10900;11847;12184;11262;11357;11317;11589;11542;11105;11399;12323;12054;11961;11655;11120;11761;11478;11277;10700;11388;12011;12013;12015;11740;10958;11864;11879;11530;11420;11940;11829;12196;11814;11403;11886;12048;11173;11957;11774
