987;722;790;985;988;893;903;1011;984;964;856;954;959;1051;1040;1120;1022;1010;989;948;991;1079;1018;1044;1123;1015;1013;1044;931;1081;1055;970;1050;953;1060;951;990;929;906;1143;1089;905;1027;930;967;1063;981;941;1016;986;859;970;907;999;888;944;978;1100;994;924;927;1086;1026;1024;1016;1018;947;1168;1056;1093;1081;878;942;1097;1118;972;1028;953;1068;1076;1019;1063;921;962;1093;959;1054;1002;1025;1099;1073;974;1128;1047;998;1147;1018;952;938;950
3807;3438;3160;3112;3363;3054;3206;3106;3100;3073;2875;3019;3174;3060;3206;3065;2929;2986;2828;2950;3516;3253;3153;3184;3446;3105;3318;3754;3343;3331;3446;3327;3495;3472;3225;3375;3376;3448;3466;3580;3486;3512;3595;3573;3555;3613;3647;3525;3396;3523;3553;3333;3282;3484;3569;3440;3375;3512;3617;3254;3467;3475;3488;3618;3696;3303;3451;3336;3391;3264;3471;3524;3250;3262;3367;3364;3617;3297;3353;3334;3587;3238;3483;3235;3316;3338;3385;3381;3319;3225;3149;3472;3522;3365;3544;3181;3436;3458;3197;3518
6641;6618;6745;6703;6349;6617;6899;6620;6437;6724;6551;6909;6742;6504;6194;6542;6904;6581;6465;6514;6729;7025;6741;6824;6786;6771;6635;6685;6816;6784;6868;7070;6885;6962;6695;6585;6787;6676;6869;6807;6592;6735;6930;6660;6628;6883;6720;6344;6484;6818;6542;6432;6526;6849;6910;6774;6715;6359;6536;6711;6492;6863;6789;6898;6588;6834;6724;6802;6775;6536;6873;6810;6807;6978;7128;6838;6748;6593;6857;6870;6754;6694;6906;6684;6543;6718;6759;7606;7060;6691;6842;6677;6760;6588;6959;6767;6593;6822;6683;6881
11579;11426;11210;11214;11032;11039;11082;10918;11225;11289;11398;10970;11385;11122;11224;11373;11270;11043;11064;11050;11498;11530;11120;11305;11419;11320;11103;11159;11025;11177;11393;11545;11246;11342;11378;11328;11291;10952;11070;11207;10854;11094;11047;10878;11657;11185;11524;11135;11162;11275;11438;11131;11374;11240;11266;11018;11176;11310;11301;11070;11653;11442;11180;10758;11341;11478;11156;10917;10559;11176;10797;11058;10783;10837;11149;10952;11313;10934;11202;10877;11093;11227;10997;10887;10909;10982;11637;11386;11249;11036;10835;10826;10966;11275;11757;11381;11427;11300;11098;11249
14770;14113;15235;15161;14795;14837;15259;14776;14934;14642;15058;14607;14691;15049;14594;15078;15386;14822;14646;15392;15021;14642;15081;14776;14900;15079;14936;14332;14614;15297;14741;15009;15078;14906;14859;14848;14655;15132;14941;14594;13727;13659;14039;14042;13844;13673;13783;13791;13987;14217;13661;13835;13421;13951;13975;14409;14860;15347;14820;14561;14647;15174;14497;14734;14569;14897;14753;14787;14893;14011;13978;14385;15308;14202;13941;14127;14556;13728;14293;14216;14024;13935;14303;13923;14333;14172;14641;15343;15129;14422;14676;14775;15132;14656;14732;14880;14972;14258;14464;14538
19268;19672;19146;19534;19572;19431;19092;19628;19515;19329;19327;19424;19428;19532;19572;19874;19673;19616;19938;20444;20751;21120;20616;20759;21512;21156;20129;20713;20725;20786;21021;20766;21347;20240;19561;19541;19844;19710;19351;19900;19400;19589;19262;20574;20104;20633;20331;20450;21123;19576;19396;19697;19420;19739;19641;19535;19261;19589;19812;19535;18957;19238;19881;19699;19490;19614;19772;19778;19698;19912;19569;20657;20803;21053;20414;20748;20643;20466;20210;20222;20717;20746;20768;20722;20417;20607;19970;19241;19668;19916;19431;19921;19350;19780;19665;19594;19506;18999;19359;19382
26541;26285;26339;25940;26080;25979;26022;25779;26510;27499;27115;26873;28235;27347;27509;27690;26715;26154;25933;25971;25640;26575;26242;26609;27394;27592;27278;27876;27625;27238;28108;27724;27562;27462;27551;27823;27507;26595;26332;25997;25967;25868;25398;25819;26428;25905;27110;27804;27794;27483;28084;28149;27147;27825;28167;26951;25796;27845;26500;27384;25951;25719;25886;26247;25812;26221;26332;25921;25739;26159;27483;26594;27625;26996;26674;26102;25688;25982;26059;25841;25631;25778;27593;27190;28136;28031;27092;28033;27113;27837;27985;27747;26976;27307;26504;27706;27482;27080;26626;26825
975;1094;1123;1014;1146;1103;1123;1025;1239;972;1028;1123;1045;1064;1125;1013;1079;1179;1124;941;1031;1088;895;1130;1050;1148;1195;1173;1246;1129;1093;1051;1146;867;1136;1202;1215;1025;1090;1044;1198;1145;970;1038;988;995;979;1155;1073;1204;1001;1062;1086;1141;1241;996;1104;875;1093;1144;1197;1153;1030;1138;985;1126;888;1079;1052;1089;1063;1061;1039;1193;1036;1130;1227;1030;1070;1040;1090;1096;1056;1021;1112;1103;1012;1147;1016;1050;1070;1096;1105;1085;976;909;921;1121;1044;1056
3004;3291;3306;3119;3165;2850;3196;3006;2972;3158;3193;3183;2892;3257;3038;3132;2852;3193;3017;2986;3094;3123;2950;2939;3023;2993;2996;2892;3058;3052;2966;2938;2950;3240;3126;3148;3049;2962;2986;3029;2838;2848;2689;2707;3060;2936;3087;2964;2989;3010;2855;2919;2918;3024;2834;2777;2804;2805;2886;2962;2711;2811;2880;2780;2850;2855;2798;3021;2978;2782;2819;2865;2858;2847;2955;2845;2884;3013;2798;2842;2781;2869;2935;2982;2964;2862;2944;2838;2561;2832;2965;2877;2897;2869;2923;2788;2821;2695;2835;2896
5542;5312;5367;5677;5672;5621;5152;5717;5604;5657;5699;5735;5507;5684;5467;5601;5434;5535;5468;5867;5535;5463;5533;5541;5623;5659;5594;5688;5678;5535;5733;5609;5650;5659;5653;5711;5491;5587;5650;5501;5862;6189;5777;5936;5934;6043;5926;6104;6098;6074;5556;6182;6073;6331;5991;5998;6138;5831;6012;5943;5976;6088;5776;6020;6086;5825;5748;5666;5695;5461;5681;5671;5685;5685;5813;5661;5941;6097;6079;5963;6089;5966;5814;5584;5972;6000;5860;6340;5764;5740;6212;6259;5951;6044;5998;5995;5805;5985;5888;6053
