1889;1926;1759;2098;2069;1912;1981;2054;2061;1873;1944;2015;2038;1969;1776;1960;2067;2173;1998;1924;2082;1903;1879;2039;1910;2058;1994;2057;2024;1950;2107;1911;2151;1970;1980;1779;2104;2044;1959;2075;1944;1955;1967;2070;2173;1978;2027;2381;2887;2492;2346;2351;2373;2323;2253;2328;2315;2281;2004;2043;2150;2269;2191;2221;1934;2061;2196;2083;2160;2228;1988;2009;2197;2049;2044;2304;2313;2189;2338;2529;2502;2142;2095;2515;2192;2234;2454;2326;2225;2212;2416;2442;2450;2425;2356;2481;2393;2314;2363;2535
6667;6644;6866;6923;6671;6389;6755;6867;6811;6688;6981;6586;6730;6490;6515;6706;6399;6691;6834;6589;6319;6805;6622;6785;6625;6617;6544;6883;6770;6422;6501;6413;6599;6750;6755;6673;6918;6618;6595;6349;6566;6502;6440;6777;6580;6814;6964;6671;6834;6421;6677;6175;6784;6439;6802;6553;6742;6866;6563;6724;6697;6872;6331;6635;6962;6485;6744;6510;6768;6838;6720;6920;6655;6696;6692;6680;6852;6704;6973;6873;6814;6737;6905;6720;6706;6762;6663;6535;6614;6711;6737;6730;6743;6516;6902;6810;6725;6771;6999;6787
13149;12899;13136;13324;13122;13342;13151;13344;13071;13425;15089;13192;12844;13164;13185;13303;13472;13180;13094;13607;13260;13110;13438;12995;13553;13021;13196;13255;13319;13375;13501;13179;13215;13453;13443;12919;13145;13034;13239;13396;13032;13494;13235;13100;12724;13113;13261;13429;12937;13139;13309;12643;12977;13143;12929;13165;12731;13572;13026;13402;13276;13220;13113;13015;13188;13007;13080;13484;13256;12959;13363;12788;13362;13050;13299;13181;12993;12878;13029;13349;12946;13205;12999;13255;13135;13331;13239;13140;13039;13020;13481;13052;12903;13453;13159;13153;13326;13325;13474;13268
22071;18233;19113;19375;19714;19575;19216;19276;18519;19951;19036;19518;19270;19844;19374;19212;19429;19176;19168;19569;19857;19503;19065;19869;19765;18926;19632;19461;19237;19521;19056;18522;17939;18330;18209;17437;18048;17887;18117;18328;17626;17893;18573;18748;19449;19950;19911;19384;19108;19248;19524;19033;18795;19187;18092;18530;19831;18878;18605;18644;18170;18203;18425;18125;18200;18349;17901;19091;19422;18897;18976;19415;19167;18998;19054;19238;18779;18674;17849;17798;17679;18270;18117;18060;17920;18281;18221;18145;18447;18319;17858;18610;18402;18485;18170;18137;18211;19252;19041;19553
28416;28720;29143;28688;28361;28910;29025;29327;29250;27868;27675;26803;26905;27434;26902;27244;28293;28760;29454;28697;27883;27573;27216;27132;27384;27019;27508;26781;26913;27628;27521;27594;27891;27331;27493;27444;28932;29528;28871;28980;28988;28677;28480;28896;29418;29535;29387;27263;27563;26846;26851;27430;27213;27425;27031;27011;27352;27868;27769;27241;27121;27419;27430;27389;27048;28703;29128;29447;29134;28776;28362;29013;28595;27446;27321;27391;27639;27257;27726;27983;28567;29500;28526;29266;28562;29148;28894;29349;29622;28985;29643;28772;28648;27366;27005;26923;27114;27290;27444;27458
38889;40232;40382;40482;39838;40244;40694;39154;40060;39451;37666;37412;37933;37845;37964;38291;38816;40386;39814;38848;38594;37592;38154;37925;38074;39867;40010;40111;40676;39763;39755;40404;39702;39610;40739;39935;38806;40188;40494;40327;40131;39515;39982;39730;37662;37825;38732;37569;37792;37090;37507;37530;38055;39184;41356;41086;40069;38203;38989;40129;41084;39774;40677;38250;37677;37832;37696;38313;38097;37281;37838;36989;37623;37846;39684;39930;39633;39611;40468;40073;39036;39621;39291;40023;38867;38215;40123;37076;38165;39364;40327;40966;39526;40542;40371;39786;38989;38296;37710;38125
52619;53093;50180;49900;50342;50344;51027;50528;51616;52688;53399;52606;53118;51504;52684;53485;52607;52192;52701;52638;52515;52750;52932;53214;53875;53422;51679;52274;54133;53650;50319;53942;53435;52917;53490;53224;52538;53511;52956;53060;51818;50436;50280;51264;50370;49582;52385;53380;52643;52997;53402;52477;53608;53061;49797;52324;53051;52999;53600;50826;50320;52205;52057;53361;51869;49974;50720;49450;47098;46183;46570;46446;45931;46662;45603;47718;48063;46671;46492;46637;46749;47234;46846;47369;47122;46653;47118;47588;47451;46380;46947;46381;46890;47502;46436;46216;46607;46202;45778;46549
3966;3629;3581;3912;3731;3600;3956;3769;3865;3821;3904;3810;3780;3795;3802;3801;3745;3574;3745;3646;3759;3895;3719;3780;3425;3690;3864;3704;3527;3756;3473;3840;3927;3682;3599;3590;3742;3589;3804;3758;3620;3834;3652;3942;3447;3729;3433;3585;3769;3725;3698;3946;3975;3917;3721;3896;3755;3832;3768;3784;3701;3752;3856;3692;3969;3864;3699;3687;3610;3712;3688;3710;3664;3723;3965;3594;3598;3814;3499;3862;3888;3964;3648;3793;3692;3930;3800;3688;3387;3638;3769;3688;3506;3623;3731;3634;3436;3849;3853;3588
10548;10525;10367;10688;10184;10181;10371;10430;10436;10283;10164;10255;10364;10061;10511;10427;10465;10881;10557;10889;10432;10593;10522;10775;10833;10522;10428;10006;10357;10684;10332;10082;10461;10938;10673;10688;10493;10853;10839;10664;10560;10940;9972;10796;10178;10858;10326;10465;10403;10556;10792;10560;10708;10207;10274;9921;10343;10070;10149;10161;10170;10384;10666;10682;10711;10444;10577;10316;10658;10486;10282;10518;10258;10884;10546;10367;10427;10060;10328;10377;10542;10704;10527;10575;10238;10147;10314;10375;10800;10114;10240;10570;10161;10777;10195;10616;9926;10717;10106;10305
20947;20462;20419;20280;20056;20311;20015;20729;20029;19845;20276;21169;20453;20932;20253;20622;20229;20844;20241;20791;20122;20081;20061;20913;20613;20455;20984;20532;20504;20965;20939;20691;21238;20814;20598;20859;21337;20752;20490;19713;20227;19873;20002;20175;19400;20636;20460;20309;20716;20389;20704;19565;20491;20855;20566;20780;20729;20596;20417;19827;20224;20847;20562;20087;20782;20201;20174;20920;20438;20609;20400;20382;19989;20638;20591;20268;20336;20510;20152;20094;20548;19668;19575;20013;19918;20742;20936;20309;20311;19826;20503;19809;20627;20270;19960;20203;20669;20310;20487;20814
